Recipe Name,Portions,Cooking Time (min),Calories (Kcal)
Lasagne di zucca con crema di funghi e scamorza,2,75,393.0
Cirashi Sushi,3,45,681.0
Rotolo di polenta con salsiccia e funghi,2,40,618.0
Terrine gratinate di polenta e funghi porcini,2,95,564.0
Farro con pesce spada,2,50,517.0
Toast al tonno e crescenza,1,30,336.0
Panino con sgombro gourmet,1,30,
Spiedini di pollo con pita,3,140,
Panino vegetariano con peperoni e uova,2,85,
Parmigiana di verdure invernali,2,105,360.0
"Crespelle integrali con prosciutto, groviera e spinaci",3,75,
Insalata di porcini e Parmigiano,1,30,
One-pot di pollo biryani,1,40,617.0
Insalata di manzo speziato e Grana Padano,2,23,616.0
Pita con pollo fritto,2,35,574.0
Pizza di tagliolini,2,50,
Curry di rana pescatrice,3,40,
Empanadas con gorgonzola e porri,1,120,200.0
Puccia con burrata e fiori di zucca,2,25,920.0
Salmone alla griglia con insalata di couscous,2,60,464.0
Uova alla benedict con tartufo e fonduta di tomino,3,85,
Hamburger alle erbe aromatiche con verdure miste e patatine,3,115,959.0
Pizza di polenta,2,100,
"Couscous con anguria, feta e pomodorini",1,30,
Piadina con pomodori secchi e mozzarella di bufala,1,15,1059.0
Panino con tonno e cipolle,2,40,
Pollo ai 4 sapori con tortino di carote,3,90,487.0
"Panino con tonno, verdure grigliate e stracciatella",2,50,
Couscous con gamberi e pomodorini confit,2,160,656.0
Panino con polpette,4,75,762.0
Bocconcini di pane con tonno e avocado,2,26,601.0
Spezzatino in crosta con patate e funghi,2,185,610.0
Burger di funghi,2,70,
Panino ai fichi,2,20,713.0
Crostata con pesto misto e pancetta,2,80,898.0
Insalata con polpette di ceci e bacon,2,40,682.0
Crostata salata rustica alla birra,2,100,527.0
Parmigiana di zucca,2,90,
Piadina con taleggio e cipolle caramellate,2,85,595.0
Galette bretonne complète,2,50,
Burger d'anatra con maionese agli agrumi,2,40,1419.0
Burger di fave,2,55,412.0
Veggie hot dog,2,90,967.0
Burger di cereali e riso rosso con hummus di avocado,2,90,414.0
Focaccia di Carnevale,3,100,
"Peperoni ripieni di riso nero, salmone e zucchine",2,65,424.0
Torta di patate con cuore al ragù di cotechino,2,90,671.0
"Insalata di bresaola con rucola, pesche e quartirolo",1,20,
Piadina con tacchino e guacamole,1,25,1311.0
Riso con tofu saltato piccante,2,40,461.0
Double cheeseburger,2,27,480.0
Quesadillas con funghi,2,35,442.0
Piadina con salsiccia e peperoni arrosto,2,50,558.0
Parmigiana di cardi,2,100,1204.0
Piadina salsiccia e patate,2,30,578.0
Zuppa di pollo e avocado,1,95,288.0
Quaglie con mantello di pancetta e riso,4,35,
Toast con verdure in agrodolce e provolone piccante,2,35,
Sformato di verdure e Grana Padano,2,100,
Club Sandwich altoatesino,2,30,
McChicken Delicato,2,15,1872.0
Piadina al gorgonzola con crudo e pomodori,1,15,766.0
Pasticcio di zucca,1,75,466.0
Chivito,1,30,768.0
Turkey sandwich,2,45,440.0
Caprese decadente,2,50,923.0
Tagliatelle di frittatine verdi con funghi e speck,2,55,627.0
Sandwich di fave e formaggio,1,10,768.0
Pulled aubergine,2,70,
Riso basmati con gamberoni alla griglia e peperoni,2,75,
Insalata di pollo e anguria,1,20,
Crepe di patate con brie e prosciutto,2,50,539.0
McChicken® Pesto Rosso,2,80,
Tacos con kale e gamberi,2,30,289.0
Tentacoli di polpo con couscous alla paprika,2,90,917.0
Vegan shepherd's pie,2,220,387.0
Riso piccante con uovo fritto,2,90,
Vacherin al forno alle erbe,2,90,689.0
Pita con agnello,3,200,675.0
Insalata di riso invernale,1,35,
Frittata di riso,2,100,
Quiche carote e legumi,3,170,
Polenta taragna al gorgonzola,2,18,
"Quinoa bowl con mele, formaggio e frutti rossi",1,25,581.0
Polpette di maiale in brodo,2,70,
Zuppa di pollo con riso basmati,3,60,
Crostacei con verdure al vapore e maionese agli agrumi,2,25,744.0
Panino con barbabietola e pollo speziato,1,30,
Piadina con prosciutto crudo e mascarpone,2,20,1080.0
"Sandwich piccante con tonno, caprino e pesto di olive",1,10,412.0
Club sandwich con polpo e patate,3,115,701.0
Lasagne di fasolari,3,85,859.0
Mini tatin ai funghi,2,130,524.0
Spiedini rustici con riso allo zafferano,3,90,666.0
Tomino al BBQ con verdure grigliate e senape,2,50,1057.0
Timballo di polenta e cotechino,3,55,524.0
