data;scontrini;totale;ristorante
20180519;0;0.00;R005
20180520;0;0.00;R001
20180520;0;0.00;R002
20180520;0;0.00;R003
20180520;0;0.00;R004
20180520;0;0.00;R005
20180521;0;0.00;R001
20180521;0;0.00;R002
20180521;0;0.00;R003
20180521;0;0.00;R004
20180521;0;0.00;R005
20180522;0;0.00;R001
20180522;0;0.00;R002
20180522;0;0.00;R003
20180522;0;0.00;R004
20180522;0;0.00;R005
20180523;0;0.00;R001
20180523;0;0.00;R002
20180523;0;0.00;R003
20180523;0;0.00;R004
20180523;0;0.00;R005
20180524;0;0.00;R001
20180524;0;0.00;R002
20180524;0;0.00;R003
20180524;0;0.00;R004
20180524;0;0.00;R005
20180525;0;0.00;R001
20180525;0;0.00;R002
20180525;0;0.00;R003
20180525;0;0.00;R004
20180525;0;0.00;R005
20180526;0;0.00;R001
20180526;0;0.00;R002
20180526;0;0.00;R003
20180526;0;0.00;R004
20180526;0;0.00;R005
20180527;0;0.00;R001
20180527;0;0.00;R002
20180527;0;0.00;R003
20180527;0;0.00;R004
20180527;0;0.00;R005
20180528;0;0.00;R001
20180528;0;0.00;R002
20180528;0;0.00;R003
20180528;0;0.00;R004
20180528;0;0.00;R005
20180529;0;0.00;R001
20180529;0;0.00;R002
20180529;0;0.00;R003
20180529;0;0.00;R004
20180529;0;0.00;R005
20180530;0;0.00;R001
20180530;0;0.00;R002
20180530;0;0.00;R003
20180530;0;0.00;R004
20180530;0;0.00;R005
20180531;0;0.00;R001
20180531;0;0.00;R002
20180531;0;0.00;R003
20180531;0;0.00;R004
20180531;0;0.00;R005
20180601;20747;515246.16;R001
20180601;27274;798972.72;R002
20180601;20933;287305.20;R003
20180601;25842;602035.20;R004
20180601;19719;439292.88;R005
20180602;0;0.00;R001
20180602;0;0.00;R002
20180602;0;0.00;R003
20180602;0;0.00;R004
20180602;0;0.00;R005
20180603;0;0.00;R001
20180603;0;0.00;R002
20180603;0;0.00;R003
20180603;0;0.00;R004
20180603;0;0.00;R005
20180604;0;0.00;R001
20180604;0;0.00;R002
20180604;0;0.00;R003
20180604;0;0.00;R004
20180604;0;0.00;R005
20180605;0;0.00;R001
20180605;0;0.00;R002
20180605;0;0.00;R003
20180605;0;0.00;R004
20180605;0;0.00;R005
20180606;0;0.00;R001
20180606;0;0.00;R002
20180606;0;0.00;R003
20180606;0;0.00;R004
20180606;0;0.00;R005
20180607;0;0.00;R001
20180607;0;0.00;R002
20180607;0;0.00;R003
20180607;0;0.00;R004
20180607;0;0.00;R005
20180608;0;0.00;R001
20180608;0;0.00;R002
20180608;0;0.00;R003
20180608;0;0.00;R004
20180608;0;0.00;R005
20180609;0;0.00;R001
20180609;0;0.00;R002
20180609;0;0.00;R003
20180609;0;0.00;R004
20180609;0;0.00;R005
20180610;0;0.00;R001
20180610;0;0.00;R002
20180610;0;0.00;R003
20180610;0;0.00;R004
20180610;0;0.00;R005
20180611;0;0.00;R001
20180611;0;0.00;R002
20180611;0;0.00;R003
20180611;0;0.00;R004
20180611;0;0.00;R005
20180612;0;0.00;R001
20180612;0;0.00;R002
20180612;0;0.00;R003
20180612;0;0.00;R004
20180612;0;0.00;R005
20180613;0;0.00;R001
20180613;0;0.00;R002
20180613;0;0.00;R003
20180613;0;0.00;R004
20180613;0;0.00;R005
20180614;0;0.00;R001
20180614;0;0.00;R002
20180614;0;0.00;R003
20180614;0;0.00;R004
20180614;0;0.00;R005
20180615;0;0.00;R001
20180615;0;0.00;R002
20180615;0;0.00;R003
20180615;0;0.00;R004
20180615;0;0.00;R005
20180616;0;0.00;R001
20180616;0;0.00;R002
20180616;0;0.00;R003
20180616;0;0.00;R004
20180616;0;0.00;R005
20180617;0;0.00;R001
20180617;0;0.00;R002
20180617;0;0.00;R003
20180617;0;0.00;R004
20180617;0;0.00;R005
20180618;0;0.00;R001
20180618;0;0.00;R002
20180618;0;0.00;R003
20180618;0;0.00;R004
20180618;0;0.00;R005
20180619;0;0.00;R001
20180619;0;0.00;R002
20180619;0;0.00;R003
20180619;0;0.00;R004
20180619;0;0.00;R005
20180620;0;0.00;R001
20180620;0;0.00;R002
20180620;0;0.00;R003
20180620;0;0.00;R004
20180620;0;0.00;R005
20180621;0;0.00;R001
20180621;0;0.00;R002
20180621;0;0.00;R003
20180621;0;0.00;R004
20180621;0;0.00;R005
20180622;0;0.00;R001
20180622;0;0.00;R002
20180622;0;0.00;R003
20180622;0;0.00;R004
20180622;0;0.00;R005
20180623;0;0.00;R001
20180623;0;0.00;R002
20180623;0;0.00;R003
20180623;0;0.00;R004
20180623;0;0.00;R005
20180624;0;0.00;R001
20180624;0;0.00;R002
20180624;0;0.00;R003
20180624;0;0.00;R004
20180624;0;0.00;R005
20180625;0;0.00;R001
20180625;0;0.00;R002
20180625;0;0.00;R003
20180625;0;0.00;R004
20180625;0;0.00;R005
20180626;0;0.00;R001
20180626;0;0.00;R002
20180626;0;0.00;R003
20180626;0;0.00;R004
20180626;0;0.00;R005
20180627;0;0.00;R001
20180627;0;0.00;R002
20180627;0;0.00;R003
20180627;0;0.00;R004
20180627;0;0.00;R005
20180628;0;0.00;R001
20180628;0;0.00;R002
20180628;0;0.00;R003
20180628;0;0.00;R004
20180628;0;0.00;R005
20180629;0;0.00;R001
20180629;0;0.00;R002
20180629;0;0.00;R003
20180629;0;0.00;R004
20180629;0;0.00;R005
20180630;0;0.00;R001
20180630;0;0.00;R002
20180630;0;0.00;R003
20180630;0;0.00;R004
20180630;0;0.00;R005
20180701;23383;565634.16;R001
20180701;27897;799016.40;R002
20180701;22138;297573.12;R003
20180701;26722;614820.96;R004
20180701;18267;417630.72;R005
20180702;0;0.00;R001
20180702;0;0.00;R002
20180702;0;0.00;R003
20180702;0;0.00;R004
20180702;0;0.00;R005
20180703;0;0.00;R001
20180703;0;0.00;R002
20180703;0;0.00;R003
20180703;0;0.00;R004
20180703;0;0.00;R005
20180704;0;0.00;R001
20180704;0;0.00;R002
20180704;0;0.00;R003
20180704;0;0.00;R004
20180704;0;0.00;R005
20180705;0;0.00;R001
20180705;0;0.00;R002
20180705;0;0.00;R003
20180705;0;0.00;R004
20180705;0;0.00;R005
20180706;0;0.00;R001
20180706;0;0.00;R002
20180706;0;0.00;R003
20180706;0;0.00;R004
20180706;0;0.00;R005
20180707;0;0.00;R001
20180707;0;0.00;R002
20180707;0;0.00;R003
20180707;0;0.00;R004
20180707;0;0.00;R005
20180708;0;0.00;R001
20180708;0;0.00;R002
20180708;0;0.00;R003
20180708;0;0.00;R004
20180708;0;0.00;R005
20180709;0;0.00;R001
20180709;0;0.00;R002
20180709;0;0.00;R003
20180709;0;0.00;R004
20180709;0;0.00;R005
20180710;0;0.00;R001
20180710;0;0.00;R002
20180710;0;0.00;R003
20180710;0;0.00;R004
20180710;0;0.00;R005
20180711;0;0.00;R001
20180711;0;0.00;R002
20180711;0;0.00;R003
20180711;0;0.00;R004
20180711;0;0.00;R005
20180712;0;0.00;R001
20180712;0;0.00;R002
20180712;0;0.00;R003
20180712;0;0.00;R004
20180712;0;0.00;R005
20180713;0;0.00;R001
20180713;0;0.00;R002
20180713;0;0.00;R003
20180713;0;0.00;R004
20180713;0;0.00;R005
20180714;0;0.00;R001
20180714;0;0.00;R002
20180714;0;0.00;R003
20180714;0;0.00;R004
20180714;0;0.00;R005
20180715;0;0.00;R001
20180715;0;0.00;R002
20180715;0;0.00;R003
20180715;0;0.00;R004
20180715;0;0.00;R005
20180716;0;0.00;R001
20180716;0;0.00;R002
20180716;0;0.00;R003
20180716;0;0.00;R004
20180716;0;0.00;R005
20180717;0;0.00;R001
20180717;0;0.00;R002
20180717;0;0.00;R003
20180717;0;0.00;R004
20180717;0;0.00;R005
20180718;0;0.00;R001
20180718;0;0.00;R002
20180718;0;0.00;R003
20180718;0;0.00;R004
20180718;0;0.00;R005
20180719;0;0.00;R001
20180719;0;0.00;R002
20180719;0;0.00;R003
20180719;0;0.00;R004
20180719;0;0.00;R005
20180720;0;0.00;R001
20180720;0;0.00;R002
20180720;0;0.00;R003
20180720;0;0.00;R004
20180720;0;0.00;R005
20180721;0;0.00;R001
20180721;0;0.00;R002
20180721;0;0.00;R003
20180721;0;0.00;R004
20180721;0;0.00;R005
20180722;0;0.00;R001
20180722;0;0.00;R002
20180722;0;0.00;R003
20180722;0;0.00;R004
20180722;0;0.00;R005
20180723;0;0.00;R001
20180723;0;0.00;R002
20180723;0;0.00;R003
20180723;0;0.00;R004
20180723;0;0.00;R005
20180724;0;0.00;R001
20180724;0;0.00;R002
20180724;0;0.00;R003
20180724;0;0.00;R004
20180724;0;0.00;R005
20180725;0;0.00;R001
20180725;0;0.00;R002
20180725;0;0.00;R003
20180725;0;0.00;R004
20180725;0;0.00;R005
20180726;0;0.00;R001
20180726;0;0.00;R002
20180726;0;0.00;R003
20180726;0;0.00;R004
20180726;0;0.00;R005
20180727;0;0.00;R001
20180727;0;0.00;R002
20180727;0;0.00;R003
20180727;0;0.00;R004
20180727;0;0.00;R005
20180728;0;0.00;R001
20180728;0;0.00;R002
20180728;0;0.00;R003
20180728;0;0.00;R004
20180728;0;0.00;R005
20180729;0;0.00;R001
20180729;0;0.00;R002
20180729;0;0.00;R003
20180729;0;0.00;R004
20180729;0;0.00;R005
20180730;0;0.00;R001
20180730;0;0.00;R002
20180730;0;0.00;R003
20180730;0;0.00;R004
20180730;0;0.00;R005
20180731;0;0.00;R001
20180731;0;0.00;R002
20180731;0;0.00;R003
20180731;0;0.00;R004
20180731;0;0.00;R005
20180801;22298;572716.56;R001
20180801;26489;799297.20;R002
20180801;20509;287015.04;R003
20180801;25322;603954.00;R004
20180801;18151;401952.72;R005
20180802;0;0.00;R001
