Date;Price;;;;;;;;
02/15/22;4.471,;;;;;;;;
02/14/22;4.402,;;;;;;;;
02/11/22;4.419,;;;;;;;;
02/10/22;4.504,;;;;;;;;
02/09/22;4.587,;;;;;;;;
02/08/22;4.522,;;;;;;;;
02/07/22;4.484,;;;;;;;;
02/04/22;4.501,;;;;;;;;
02/03/22;4.477,;;;;;;;;
02/02/22;4.589,;;;;;;;;
02/01/22;4.547,;;;;;;;;
01/31/22;4.516,;;;;;;;;
01/28/22;4.432,;;;;;;;;
01/27/22;4.327,;;;;;;;;
01/26/22;4.350,;;;;;;;;
01/25/22;4.356,;;;;;;;;
01/24/22;4.410,;;;;;;;;
01/21/22;4.398,;;;;;;;;
01/20/22;4.483,;;;;;;;;
01/19/22;4.533,;;;;;;;;
01/18/22;4.577,;;;;;;;;
01/14/22;4.663,;;;;;;;;
01/13/22;4.659,;;;;;;;;
01/12/22;4.726,;;;;;;;;
01/11/22;4.713,;;;;;;;;
01/10/22;4.670,;;;;;;;;
01/07/22;4.677,;;;;;;;;
01/06/22;4.696,;;;;;;;;
01/05/22;4.701,;;;;;;;;
01/04/22;4.794,;;;;;;;;
01/03/22;4.797,;;;;;;;;
12/31/21;4.766,;;;;;;;;
12/30/21;4.779,;;;;;;;;
12/29/21;4.793,;;;;;;;;
12/28/21;4.786,;;;;;;;;
12/27/21;4.791,;;;;;;;;
12/23/21;4.726,;;;;;;;;
12/22/21;4.697,;;;;;;;;
12/21/21;4.649,;;;;;;;;
12/20/21;4.568,;;;;;;;;
12/17/21;4.621,;;;;;;;;
12/16/21;4.669,;;;;;;;;
12/15/21;4.710,;;;;;;;;
12/14/21;4.634,;;;;;;;;
12/13/21;4.669,;;;;;;;;
12/10/21;4.712,;;;;;;;;
12/09/21;4.667,;;;;;;;;
12/08/21;4.701,;;;;;;;;
12/07/21;4.687,;;;;;;;;
12/06/21;4.592,;;;;;;;;
12/03/21;4.538,;;;;;;;;
12/02/21;4.577,;;;;;;;;
12/01/21;4.513,;;;;;;;;
11/30/21;4.567,;;;;;;;;
11/29/21;4.655,;;;;;;;;
11/26/21;4.595,;;;;;;;;
11/24/21;4.701,;;;;;;;;
11/23/21;4.691,;;;;;;;;
11/22/21;4.683,;;;;;;;;
11/19/21;4.698,;;;;;;;;
11/18/21;4.705,;;;;;;;;
11/17/21;4.689,;;;;;;;;
11/16/21;4.701,;;;;;;;;
11/15/21;4.683,;;;;;;;;
11/12/21;4.683,;;;;;;;;
11/11/21;4.649,;;;;;;;;
11/10/21;4.647,;;;;;;;;
11/09/21;4.685,;;;;;;;;
11/08/21;4.702,;;;;;;;;
11/05/21;4.698,;;;;;;;;
11/04/21;4.680,;;;;;;;;
11/03/21;4.661,;;;;;;;;
11/02/21;4.631,;;;;;;;;
11/01/21;4.614,;;;;;;;;
10/29/21;4.605,;;;;;;;;
10/28/21;4.596,;;;;;;;;
10/27/21;4.552,;;;;;;;;
10/26/21;4.575,;;;;;;;;
10/25/21;4.566,;;;;;;;;
10/22/21;4.545,;;;;;;;;
10/21/21;4.550,;;;;;;;;
10/20/21;4.536,;;;;;;;;
10/19/21;4.520,;;;;;;;;
10/18/21;4.486,;;;;;;;;
10/15/21;4.471,;;;;;;;;
10/14/21;4.438,;;;;;;;;
10/13/21;4.364,;;;;;;;;
10/12/21;4.351,;;;;;;;;
10/11/21;4.361,;;;;;;;;
10/08/21;4.391,;;;;;;;;
10/07/21;4.400,;;;;;;;;
10/06/21;4.364,;;;;;;;;
10/05/21;4.346,;;;;;;;;
10/04/21;4.300,;;;;;;;;
10/01/21;4.357,;;;;;;;;
09/30/21;4.308,;;;;;;;;
09/29/21;4.359,;;;;;;;;
09/28/21;4.353,;;;;;;;;
09/27/21;4.443,;;;;;;;;
09/24/21;4.455,;;;;;;;;
09/23/21;4.449,;;;;;;;;
09/22/21;4.396,;;;;;;;;
09/21/21;4.354,;;;;;;;;
09/20/21;4.358,;;;;;;;;
09/17/21;4.433,;;;;;;;;
09/16/21;4.474,;;;;;;;;
